udise_code,school_name,state_code,state,district_code,district,block_code,block,village_or_ward,cluster,category,management,school_type,location,status,pincode,latitude,longitude,pulled_at,schoolId,schoolStatus,schoolStatusName,schIdMerged,schMergedYear,isNewCY,isOperational2018To19,isOperational2019To20,isOperational2020To21,isOperational2021To22,isOperational2022To23,classFrm,classTo,schCategoryId,schMgmtId,schMgmtDesc,schMgmtDescSt,schBroadMgmtId,schmgmtParentId,schType,schTypeDesc,schLocRuralUrban,address,email,villWardCd,villageId,clusterCd,clusterId,lgdStateId,lgdblockId,lgdblockName,lgdpanchayatId,lgdvillageId,lgdvillName,lgdvillpanchayatName,lgdurbanlocalbodyId,lgdurbanlocalbodyName,lgdwardId,lgdwardName,sessionYear,yearId,lastmodifiedTime,keyFlag,stateId,districtId,blockId,coord_source,coord_pulled_at
01021601123,AARIFEEN SCHOOL OF EXCELLENCE DELINA ,01,JAMMU & KASHMIR,0102,BARAMULLA,010216,SINGHPORA (KALAN),DELINA,MS DELINA (A),Primary,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193101,34.232913,74.435769,2026-09-02T17:02:56,1030306,0,Operational,,,2,50,50,0,50,0,1,5,1,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,"Nerar Power grid station singhpora road Delina , baramulla j and k 19310",info[at]aarifeen[dot]com,010216011,1008147,0102160006,1001001,1,22,Baramulla,241216,2417,Delina,Delina D,,,,,2026-27,13,2026-01-27 19:50:29.793,,101,1002,10179,kys_by_year,2026-09-04T23:13:42+00:00
01021302902,ABU-BAKAR MEMORIAL TRUST LOOLIPORA,01,JAMMU & KASHMIR,0102,BARAMULLA,010213,PATTAN,LOOLIPORA,GOSHBUGH,Primary with Upper Primary,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193121,34.2007,74.5135,2026-09-02T17:02:56,1004289,0,Operational,,,2,50,0,0,50,0,1,8,2,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,Loolipora pattan Baramulla,abmtlp567[at]gmail[dot]com,010213029,1006885,0102130011,1000975,1,27,Pattan,241873,2321,Lolipora,Lolipora,,,,,2026-27,13,2026-01-25 13:03:53.829,,101,1002,10177,kys_by_year,2026-09-04T23:13:43+00:00
01021105703,ABU HURAIRA MEMORAL INSTITUTE,01,JAMMU & KASHMIR,0102,BARAMULLA,010211,KUNZAR,MONGLOORA,MS Mongloora,Primary with Upper Primary,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193404,34.087993,74.525168,2026-09-02T17:02:56,1003999,0,Operational,,,2,50,0,0,50,0,1,8,2,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,ABU HURAIRAH MEMORIAL INSTITUTE,ahmimanglora8222[at]gmail[dot]com,010211057,1008478,0102110008,1001130,1,26,Kunzer,241827,2650,Mangloora,Takiya Batpora,,,,,2026-27,13,2026-01-25 22:12:59.72,,101,1002,10175,kys_by_year,2026-09-04T23:13:43+00:00
01020501509,AFI DANGERPORA,01,JAMMU & KASHMIR,0102,BARAMULLA,010205,DANGERPORA,DANGERPORA,C3 BHS BRAT KALAN,Pr. Up Pr. and Secondary Only,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193201,34.3681,74.5164,2026-09-02T17:02:56,1003420,0,Operational,,,2,50,0,0,50,0,1,10,6,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,ARABIA FAIZUL ISLAM MAIDANPORA Dangerpora Zaingair,afihighschool[at]gmail[dot]com,010205015,1008295,0102050003,1001066,1,36,Zaingeer,242029,2205,Dangarpora,Dangerpora B,,,,,2026-27,13,2026-01-25 18:52:22.314,,101,1002,10171,kys_by_year,2026-09-04T23:13:43+00:00
01020600112,AHMAD MEMORIAL EDUCATIONAL INSTITUTE,01,JAMMU & KASHMIR,0102,BARAMULLA,010206,DANGIWACHA,BEHRAMPORA,BEHRAMPORA C1,Primary,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193303,34.33339,74.409163,2026-09-02T17:02:56,1003577,0,Operational,,,2,50,0,0,50,0,1,5,1,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,Behrampora rafiabad baramulla,Ahmadmemorial173[at]gmail[dot]com,010206001,1008337,0102060001,1001072,1,28,Rafiabad,242427,2237,Behrampora,Behrampora-B,,,,,2026-27,13,2026-02-01 22:04:50.934,,101,1002,10172,kys_by_year,2026-09-04T23:13:44+00:00
01020501526,AHMAD MEMORIAL HIGHFIELD SCIENTFIC SCHOOL DANGERPORA,01,JAMMU & KASHMIR,0102,BARAMULLA,010205,DANGERPORA,DANGERPORA,C3 BHS BRAT KALAN,Pr. Up Pr. and Secondary Only,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193201,34.3681,74.5164,2026-09-02T17:02:56,1003430,0,Operational,,,2,50,0,0,50,0,1,10,6,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,Budshah Mohalla Dangerpora,highfieldschool786[at]gmail[dot]com,010205015,1008295,0102050003,1001066,1,36,Zaingeer,242030,2205,Dangarpora,Dangerpora C,,,,,2026-27,13,2026-01-25 18:54:11.38,,101,1002,10171,kys_by_year,2026-09-04T23:13:44+00:00
01021601124,AHMAD PUBLIC SCHOOL DELINA,01,JAMMU & KASHMIR,0102,BARAMULLA,010216,SINGHPORA (KALAN),DELINA,MS DELINA (A),Primary with Upper Primary,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193103,34.238481,74.419702,2026-09-02T17:02:56,1030516,0,Operational,,,2,50,50,50,50,0,1,8,2,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,Main Market Delina Baramulla,irshadkhan8739[at]gmail[dot]com,010216011,1008147,0102160006,1001001,1,22,Baramulla,241213,2417,Delina,Delina A,,,,,2026-27,13,2026-01-27 19:50:37.265,,101,1002,10179,kys_by_year,2026-09-04T23:13:44+00:00
01021205404,AIMS INSTITUTE OF LEARING,01,JAMMU & KASHMIR,0102,BARAMULLA,010212,NEHALPORA,NILHA,MS WANIGAM,Primary with Upper Primary,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193121,34.1574,74.5584,2026-09-02T17:02:56,1030555,0,Operational,,,2,50,50,50,50,0,1,8,2,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,Nillah Pattan Baramulla,aimsinstitutenillahpattan[at]gmail[dot]com,010212054,1008113,0102120003,1000964,1,27,Pattan,241854,2331,Neelofar,Nillah Palpora,,,,,2026-27,13,2026-01-28 14:25:06.259,,101,1002,10176,kys_by_year,2026-09-04T23:13:45+00:00
01021106506,ALAMA IQBAL INST. OF EDU.,01,JAMMU & KASHMIR,0102,BARAMULLA,010211,KUNZAR,KUNZER,MS KUNZER,Pr. Up Pr. and Secondary Only,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193404,34.0778,74.4835,2026-09-02T17:02:56,1004010,0,Operational,,,2,50,0,0,50,0,1,10,6,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,KUNZER CHANAPORA 193404,aiie.kunzer[at]gmail[dot]com,010211065,1008484,0102110007,1001129,1,26,Kunzer,241839,2651,Goni Pora,Gonipora,,,,,2026-27,13,2026-01-25 22:17:26.414,,101,1002,10175,kys_by_year,2026-09-04T23:13:45+00:00
01021302705,ALAMDAR INSTITUTE OF EDUCATION HAMRAY,01,JAMMU & KASHMIR,0102,BARAMULLA,010213,PATTAN,HAMRAY,HAMRAY,Primary,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193121,34.2084,74.5118,2026-09-02T17:02:56,1004280,0,Operational,,,2,50,0,0,50,0,1,5,1,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,HAMRAY PATTAN BARAMULLA,alamdarhamray[at]gmail[dot]com,010213027,1008792,0102130009,1000961,1,27,Pattan,241874,2319,Hamrey,Hamray,,,,,2026-27,13,2026-01-25 13:02:24.018,,101,1002,10177,kys_by_year,2026-09-04T23:13:45+00:00
01021702006,ALAMDAR MISSION SCHOOL,01,JAMMU & KASHMIR,0102,BARAMULLA,010217,SINGHPORA PATTAN,MIRGUND,GMS CR KHAN,Primary with Upper Primary,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193121,34.133762,74.667324,2026-09-02T17:02:56,1004616,0,Operational,,,2,50,0,0,50,0,1,8,2,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,MIRGUND SINGHPORA PATTAN 193121,ALAMDARMISSIONSCHOOL48[at]GMAIL[dot]COM,010217020,1008047,0102170001,1001010,1,30,Singhpora,288821,2363,Mirgund,Mirgund B,,,,,2026-27,13,2026-01-25 20:16:35.096,,101,1002,10180,kys_by_year,2026-09-04T23:13:46+00:00
01021106702,ALAMDAR MODEL SCHOOL,01,JAMMU & KASHMIR,0102,BARAMULLA,010211,KUNZAR,TARHAMA,MS Mongloora,Primary with Upper Primary,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193404,34.0791,74.4917,2026-09-02T17:02:56,1004012,0,Operational,,,2,50,0,0,50,0,1,8,2,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,Tarhama Kunzer Baramulla,alamdarmodelschooltarahama[at]gmail[dot]com,010211067,1008486,0102110008,1001130,1,7008,Hardaboora,241816,2406,Tarhama,Tarahama,,,,,2026-27,13,2026-01-25 22:16:41.762,,101,1002,10175,kys_by_year,2026-09-04T23:13:46+00:00
01021800211,ALAMDAR PUBLIC HIGH SCHOOL SEER ROAD SOPORE,01,JAMMU & KASHMIR,0102,BARAMULLA,010218,SOPORE,SEER JAGIR,MS PETH SEER,Pr. Up Pr. and Secondary Only,Private Unaided (Recognized) ,3-Co-educational,Rural,Operational,193122,34.2663,74.4517,2026-09-02T17:02:56,1004718,0,Operational,,,2,50,0,0,50,0,1,10,6,5,Private Unaided (Recognized) ,Private Unaided (Recognized),3,5,3,3-Co-educational,1,SEER JAGIR SOPORE BARAMULLA KASHMIR,alamdarschool6[at]gmail[dot]com,010218002,1008520,0102180005,1001104,1,7016,Sangrama,241954,2214,Seer Jagir,Manzseer,,,,,2026-27,13,2025-03-02 23:34:12.99,,101,1002,10181,kys_by_year,2026-09-04T23:13:46+00:00
